CatalogNumber,Locality,VerbatimLocality,Country,EventDate,VerbatimEventDate
MNCN-1,Granada,"Granada, Spain",Spain,1998-01-01/1998-12-31,Enero-Diciembre 1998
MNCN-2,,"Burgos, Spain",Spain,1998-7-14,14 Julio 1998
MNCN-3,,"Teruel, Spain",Spain,1998-1-3,
MNCN-4,"Aliaga, Teruel",,Spain,14-07-1998,
MNCN-5,"Ricla, Zaragoza",,Spain,14-7-1998,
MNCN-6,"Moneva, Zaragoza",,Spain,03/03/1998,
MNCN-7,"Utrillas, Teruel",,,1989-02-31,
MNCN-8,,,,03/04/98,
MNCN-9,,,,summer 1976,
MNCN-10,Galve,,Spain,1998-07-14,
MNCN-11,124bis,,Spain,,
MNCN-12,123,,Spain,,
MNCN-13,123,,Spain,,
